Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,86,12,F:System.Windows.Forms.FormStartPosition.CenterScreen,,,,,this.StartPosition = System.Windows.Forms.FormStartPosition.CenterScreen;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,86,12,T:System.Windows.Forms.FormStartPosition,,,,,this.StartPosition = System.Windows.Forms.FormStartPosition.CenterScreen;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,86,12,P:System.Windows.Forms.Form.StartPosition,,,,,this.StartPosition = System.Windows.Forms.FormStartPosition.CenterScreen;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,85,12,P:System.Windows.Forms.Control.Name,,,,,"this.Name = ""Form1"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,84,12,T:System.Windows.Forms.SplitContainer,,,,,this.Controls.Add(this.splitContainer1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,84,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.splitContainer1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,84,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.splitContainer1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,84,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.splitContainer1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,83,12,P:System.Windows.Forms.Form.ClientSize,,,,,"this.ClientSize = new System.Drawing.Size(784, 461);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,82,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,82,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,82,12,F:System.Windows.Forms.AutoScaleMode.Font,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,82,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,82,12,P:System.Windows.Forms.ContainerControl.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,81,12,P:System.Windows.Forms.ContainerControl.AutoScaleDimensions,,,,,"this.AutoScaleDimensions = new System.Drawing.SizeF(6F, 13F);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,76,12,P:System.Windows.Forms.Control.TabIndex,,,,,this.expList1.TabIndex = 0;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,75,12,P:System.Windows.Forms.Control.Size,,,,,"this.expList1.Size = new System.Drawing.Size(530, 461);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,74,12,P:System.Windows.Forms.Control.Name,,,,,"this.expList1.Name = ""expList1"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,73,12,P:System.Windows.Forms.Control.Location,,,,,"this.expList1.Location = new System.Drawing.Point(0, 0);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,72,12,T:System.Windows.Forms.DockStyle,,,,,this.expList1.Dock = System.Windows.Forms.DockStyle.Fill;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,72,12,T:System.Windows.Forms.DockStyle,,,,,this.expList1.Dock = System.Windows.Forms.DockStyle.Fill;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,72,12,F:System.Windows.Forms.DockStyle.Fill,,,,,this.expList1.Dock = System.Windows.Forms.DockStyle.Fill;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,72,12,T:System.Windows.Forms.DockStyle,,,,,this.expList1.Dock = System.Windows.Forms.DockStyle.Fill;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,72,12,P:System.Windows.Forms.Control.Dock,,,,,this.expList1.Dock = System.Windows.Forms.DockStyle.Fill;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,66,12,P:System.Windows.Forms.Control.TabIndex,,,,,this.expTree1.TabIndex = 0;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,64,12,P:System.Windows.Forms.Control.Size,,,,,"this.expTree1.Size = new System.Drawing.Size(250, 461);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,62,12,P:System.Windows.Forms.Control.Name,,,,,"this.expTree1.Name = ""expTree1"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,61,12,P:System.Windows.Forms.Control.Location,,,,,"this.expTree1.Location = new System.Drawing.Point(0, 0);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,60,12,T:System.Windows.Forms.DockStyle,,,,,this.expTree1.Dock = System.Windows.Forms.DockStyle.Fill;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,60,12,T:System.Windows.Forms.DockStyle,,,,,this.expTree1.Dock = System.Windows.Forms.DockStyle.Fill;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,60,12,F:System.Windows.Forms.DockStyle.Fill,,,,,this.expTree1.Dock = System.Windows.Forms.DockStyle.Fill;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,60,12,T:System.Windows.Forms.DockStyle,,,,,this.expTree1.Dock = System.Windows.Forms.DockStyle.Fill;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,60,12,P:System.Windows.Forms.Control.Dock,,,,,this.expTree1.Dock = System.Windows.Forms.DockStyle.Fill;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,59,12,T:System.Windows.Forms.Cursors,,,,,this.expTree1.Cursor = System.Windows.Forms.Cursors.Default;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,59,12,T:System.Windows.Forms.Cursor,,,,,this.expTree1.Cursor = System.Windows.Forms.Cursors.Default;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,59,12,P:System.Windows.Forms.Cursors.Default,,,,,this.expTree1.Cursor = System.Windows.Forms.Cursors.Default;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,59,12,T:System.Windows.Forms.Cursor,,,,,this.expTree1.Cursor = System.Windows.Forms.Cursors.Default;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,59,12,P:System.Windows.Forms.Control.Cursor,,,,,this.expTree1.Cursor = System.Windows.Forms.Cursors.Default;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,54,12,T:System.Windows.Forms.SplitContainer,,,,,this.splitContainer1.TabIndex = 0;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,54,12,P:System.Windows.Forms.Control.TabIndex,,,,,this.splitContainer1.TabIndex = 0;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,53,12,T:System.Windows.Forms.SplitContainer,,,,,this.splitContainer1.SplitterDistance = 250;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,53,12,P:System.Windows.Forms.SplitContainer.SplitterDistance,,,,,this.splitContainer1.SplitterDistance = 250;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,52,12,T:System.Windows.Forms.SplitContainer,,,,,"this.splitContainer1.Size = new System.Drawing.Size(784, 461);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,52,12,P:System.Windows.Forms.Control.Size,,,,,"this.splitContainer1.Size = new System.Drawing.Size(784, 461);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,51,12,T:System.Windows.Forms.SplitContainer,,,,,this.splitContainer1.Panel2.Controls.Add(this.expList1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,51,12,T:System.Windows.Forms.SplitterPanel,,,,,this.splitContainer1.Panel2.Controls.Add(this.expList1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,51,12,P:System.Windows.Forms.SplitContainer.Panel2,,,,,this.splitContainer1.Panel2.Controls.Add(this.expList1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,51,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.splitContainer1.Panel2.Controls.Add(this.expList1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,51,12,P:System.Windows.Forms.Control.Controls,,,,,this.splitContainer1.Panel2.Controls.Add(this.expList1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,51,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.splitContainer1.Panel2.Controls.Add(this.expList1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,47,12,T:System.Windows.Forms.SplitContainer,,,,,this.splitContainer1.Panel1.Controls.Add(this.expTree1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,47,12,T:System.Windows.Forms.SplitterPanel,,,,,this.splitContainer1.Panel1.Controls.Add(this.expTree1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,47,12,P:System.Windows.Forms.SplitContainer.Panel1,,,,,this.splitContainer1.Panel1.Controls.Add(this.expTree1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,47,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.splitContainer1.Panel1.Controls.Add(this.expTree1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,47,12,P:System.Windows.Forms.Control.Controls,,,,,this.splitContainer1.Panel1.Controls.Add(this.expTree1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,47,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.splitContainer1.Panel1.Controls.Add(this.expTree1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,43,12,T:System.Windows.Forms.SplitContainer,,,,,"this.splitContainer1.Name = ""splitContainer1"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,43,12,P:System.Windows.Forms.Control.Name,,,,,"this.splitContainer1.Name = ""splitContainer1"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,42,12,T:System.Windows.Forms.SplitContainer,,,,,"this.splitContainer1.Location = new System.Drawing.Point(0, 0);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,42,12,P:System.Windows.Forms.Control.Location,,,,,"this.splitContainer1.Location = new System.Drawing.Point(0, 0);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,41,12,T:System.Windows.Forms.DockStyle,,,,,this.splitContainer1.Dock = System.Windows.Forms.DockStyle.Fill;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,41,12,T:System.Windows.Forms.DockStyle,,,,,this.splitContainer1.Dock = System.Windows.Forms.DockStyle.Fill;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,41,12,F:System.Windows.Forms.DockStyle.Fill,,,,,this.splitContainer1.Dock = System.Windows.Forms.DockStyle.Fill;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,41,12,T:System.Windows.Forms.SplitContainer,,,,,this.splitContainer1.Dock = System.Windows.Forms.DockStyle.Fill;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,41,12,T:System.Windows.Forms.DockStyle,,,,,this.splitContainer1.Dock = System.Windows.Forms.DockStyle.Fill;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,41,12,P:System.Windows.Forms.SplitContainer.Dock,,,,,this.splitContainer1.Dock = System.Windows.Forms.DockStyle.Fill;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,37,12,M:System.Windows.Forms.Control.SuspendLayout,,,,,this.SuspendLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,36,12,T:System.Windows.Forms.SplitContainer,,,,,this.splitContainer1.SuspendLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,36,12,M:System.Windows.Forms.Control.SuspendLayout,,,,,this.splitContainer1.SuspendLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,35,12,T:System.Windows.Forms.SplitContainer,,,,,this.splitContainer1.Panel2.SuspendLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,35,12,T:System.Windows.Forms.SplitterPanel,,,,,this.splitContainer1.Panel2.SuspendLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,35,12,P:System.Windows.Forms.SplitContainer.Panel2,,,,,this.splitContainer1.Panel2.SuspendLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,35,12,M:System.Windows.Forms.Control.SuspendLayout,,,,,this.splitContainer1.Panel2.SuspendLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,34,12,T:System.Windows.Forms.SplitContainer,,,,,this.splitContainer1.Panel1.SuspendLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,34,12,T:System.Windows.Forms.SplitterPanel,,,,,this.splitContainer1.Panel1.SuspendLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,34,12,P:System.Windows.Forms.SplitContainer.Panel1,,,,,this.splitContainer1.Panel1.SuspendLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,34,12,M:System.Windows.Forms.Control.SuspendLayout,,,,,this.splitContainer1.Panel1.SuspendLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,33,12,T:System.Windows.Forms.SplitContainer,,,,,((System.ComponentModel.ISupportInitialize)(this.splitContainer1)).BeginInit();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,30,12,T:System.Windows.Forms.SplitContainer,,,,,this.splitContainer1 = new System.Windows.Forms.SplitContainer();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,30,12,M:System.Windows.Forms.SplitContainer.#ctor,,,,,this.splitContainer1 = new System.Windows.Forms.SplitContainer();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,30,12,T:System.Windows.Forms.SplitContainer,,,,,this.splitContainer1 = new System.Windows.Forms.SplitContainer();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.Designer.cs,19,12,M:System.Windows.Forms.Form.Dispose(System.Boolean),,,,,base.Dispose(disposing);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.cs,22,12,T:System.Windows.Forms.View,,,,,this.expList1.ViewType = (int)View.LargeIcon;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.cs,22,12,T:System.Windows.Forms.View,,,,,this.expList1.ViewType = (int)View.LargeIcon;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Demo_CS\Demo_CS.csproj,File,Demo_CS\Form1.cs,22,12,F:System.Windows.Forms.View.LargeIcon,,,,,this.expList1.ViewType = (int)View.LargeIcon;
